"双港论坛"特色推介暨结对签约仪式举行 余红艺黄伯霖出席	今天下午，第三届“双港论坛”特色推介暨结对签约仪式在泛太平洋酒店举行，来自甬台两地的10个青年组织上台开展特色推介，并有四组单位现场进行结对签约	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.865698575974	0.553878940642	0.886217653751	0.864654898643	0.506846955977	0.908002972603	0.440914958715	0.221946175676	0.533946275711	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"学习贯彻习近平总书记扶贫开发战略思想研讨会"综述:贯彻战略新思想 打赢脱贫攻坚战	“学习贯彻习近平总书记扶贫开发战略思想研讨会”现场	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.945312142372	0.764029959838	0.967897891998	0.838251471519	0.606964766979	0.898317396641	0.338956385851	0.257205766936	0.482978790998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0
0 四川景区高空钢索表演出意外10月1日下午15时许，蓬溪县红海景区内高空钢索演出发生意外，造成4名演职人员落水。	10月1日下午15时许，蓬溪县红海景区内高空钢索演出发生意外，造成4名演职人员落水	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.988686621189	0.58883928104	1.0	0.976162850857	0.558723654598	1.0	0.416686207056	0.183259751337	0.499586731195	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0 于晓光撇未婚妻秋瓷炫深夜撩妹日前晚间，于晓光被拍到深夜在外与友聚餐唱K，更与两位妹子牵手互撩。	新浪娱乐讯 韩国女星秋瓷炫与中国男演员于晓光本计划将于今年年底结婚，不过日前晚间，于晓光却被拍到深夜在外与友聚餐唱K，更与两位妹子牵手互撩	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.954611897469	0.528484448791	1.0	0.933951437473	0.480936066806	1.0	0.228538155556	0.0616855359636	0.455448269844	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0 张一山嘟嘴吐舌搞怪自拍张一山搞怪自拍 嘟嘴吐舌合影高亚麟	新浪娱乐讯 张一山6日在微博晒出一组搞怪自拍，嘟嘴吐舌还与“老爸”高亚麟合影，心情大好	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.883092164993	0.446564330719	0.927389919758	0.853698253632	0.323012173176	0.897584974766	0.331249028444	0.107743840587	0.406868159771	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0 朱婷首秀贡献20分女排友谊赛，瓦基弗银行3-1卡萨尔马焦雷，朱婷首秀轰20分。	土耳其伊斯坦布尔时间10月8日，2016女排友谊赛，瓦基弗银行3-1卡萨尔马焦雷，朱婷首秀轰20分	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.965181350708	0.616661597043	1.0	0.894611597061	0.471161565743	1.0	0.27685841918	0.061448336477	0.415441125631	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
00后也生孩子了！16岁打工女孩产下4斤女婴	“00 后”如今也生孩子了	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.820732951164	0.516680710018	0.934281587601	0.777411222458	0.599034868181	0.857548236847	0.301886677742	0.231763554737	0.405827730894	4.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10.25午夜原油低多为主！原油午夜建议及多单解套	汪优典：10.25午夜原油低多为主	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93964856863	0.557449519634	1.0	0.85454416275	0.604335591197	1.0	0.397429645061	0.279563557357	0.473350524902	1.0	26.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0
10后的孩子，为什么经常上火呢？	&nbsp;现在的孩子，为什么经常上火	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.877124965191	0.620472356677	0.918988645077	0.832543730736	0.609064124525	0.995182931423	0.47114855051	0.22266056668	0.572521448135	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10元救命药被炒上万 廉价好用药在现实中	10元救命药被炒上万廉价好用药在现实中却成为“孤药” 近日一则10元救命药被炒上万的新闻引发网友关注	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.957478225231	0.822282761335	0.888336181641	0.944691777229	0.774686619639	0.864347159863	0.517437458038	0.444520786405	0.524388670921	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
